pertanyaan,jawaban,konteks,kategori
leres atanapi henteu pakakas paranti ngakut es kacang namina ancung,leres,ancung nyaeta pakakas paranti ngakut es kacang,pakakas
leres atanapi henteu pakakas paranti nugar namina balicong,leres,balicong nyaeta pakakas paranti nugar,pakakas
leres atanapi henteu pakakas paranti maledogkeun batu namina bandring,leres,bandring nyaeta pakakas paranti maledogkeun batu,pakakas
leres atanapi henteu pakakas paranti ngadek jeung bisa nakol namina dekol,leres,dekol nyaeta pakakas nu bisa dipake ngadek jeung nakol,pakakas
leres atanapi henteu pakakas paranti ngumpulkeun jukut garing namina gacok,leres,gacok nyaeta pakakas paranti ngumpulkeun jukut garing,pakakas
leres atanapi henteu pakakas nu bentukna diga bedog tapi leuwih panjang namina gubang,leres,gubang nyaeta pakakas siga bedog tapi leuwih panjang,pakakas
leres atanapi henteu pakakas paragi mentang jamparing namina gondewa,leres,gondewa nyaeta pakakas paranti mentang jamparing,pakakas
leres atanapi henteu pakakas nu sok dipake manah namina jamparing,leres,jamparing nyaeta pakakas paranti manah,pakakas
leres atanapi henteu pakakas paranti ngala lauk namina sumpit,leres,sumpit nyaeta pakakas paranti ngala lauk,pakakas
leres atanapi henteu pakakas paranti ngala barang namina sundung,leres,sundung nyaeta alat paranti mawa barang,pakakas
leres atanapi henteu pakakas paranti ngeureut namina peso,leres,peso nyaeta pakakas paranti ngeureut,pakakas
leres atanapi henteu pakakas paranti ngaratakeun taneuh nu geus diwaluku namina susurung,leres,susurung nyaeta pakakas paranti ngaratakeun taneuh nu geus diwaluku,pakakas
leres atanapi henteu alat paranti wawadahan namina boboko,leres,boboko nyaeta alat paranti wawadahan,parabot
leres atanapi henteu alat paranti motongan sayur namina peso,leres,peso nyaeta alat paranti ngeureutan ,parabot
leres atanapi henteu alat paranti nyaring endog lamun enggeus digoreng namina serok,leres,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu alat paranti napikeun beas beunang nyosoh namina nyiru,leres,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu alat paranti wadah dahareun dina hajatan namina besek,leres,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu alat paranti ngala hu'ut lemes namina ayakan,leres,ayakan nyaeta alat paranti ngayak huut lemes,parabot
leres atanapi henteu alat paranti nyangu namina aseupan,leres,aseupan nyaeta alat paranti nyangu,parabot
leres atanapi henteu alat paranti ngageberan waktu ngakeul namina hihid,leres,hihid nyaeta alat paranti ngageberan sangu waktu ngakeul,parabot
leres atanapi henteu alat paranti ngarendos bumbu namina mutu,leres,mutu nyaeta alat paranti ngarendos bumbu,parabot
leres atanapi henteu alat paranti nyiksik bawang jeung sajabana namina talenan,leres,talenan nyaeta tiatakan paranti nyiksik bawang jeung sajabana,parabot
leres atanapi henteu alat paranti wadah cai pikeun nginum namina teko,leres,teko nyaeta paranti ngawadahan cai nginum,parabot
leres atanapi henteu alat paranti gogoreng namina kawali,leres,kawali nyaeta alat paranti ngagoreng,parabot
leres atanapi henteu alat paranti moekeun lauk asin namina cecempeh,leres,cecempeh nyaeta nyiru leutik paranti moe lauk asin,parabot
leres atanapi henteu alat paranti wadah timbel namina totolonto,leres,totolonto nyaeta alat paranti wadah timbel,parabot
leres atanapi henteu wadah nu gede paranti balanja ka pasar namina rinjing,leres,rinjing nyaeta wadah paranti babawaan mun balanja kla pasar,parabot
leres atanapi henteu alat paranti nyieun dodol atawa wajit namina gerengseng,leres,gerengseng nyaeta alat paranti nyieun dodol atawa wajit,parabot
"leres atanapi henteu ngaran hawu leutik paranti ngaliwet, naheur cai namina anglo",leres,anglo nyaeta hawu leutik paranti ngaliwet atawa naheur cai,parabot
leres atanapi henteu wadah cai badag paranti masak namina gentong,leres,gentong nyaeta wadah cai badag paranti masak,parabot
leres atanapi henteu tempat bubuahan nu dijeunna tina tembaga namina bokor,leres,bokor nyaeta tempat bubuahan tina tembaga,parabot
leres atanapi henteu alat paranti niup seuneu dina hawu namina songsong,leres,songsong nyaeta alat paranti niup seuneu dina hawu,parabot
leres atanapi henteu alat paranti tatakan ngarendos namina cowet,leres,cowet nyaeta tatakan jang ngalemeskeun bumbu nu direndos,parabot
leres atanapi henteu alat paranti wawadahan leutik kaulinan barudak namina cecenting,leres,cecenting nyaeta alat paranti wawadahan leutik kaulinan barudak,parabot
leres atanapi henteu alat paranti ngawadahan runtah namina piruruhan,leres,piruruhan nyaeta alat paranti ngawadahan runtah,parabot
leres atanapi henteu tempat paranti ngakeul namina pangangen,leres,pangangen nyaeta tempat ngakeul,parabot
leres atanapi henteu tempat paranti kadaharan namina tetenong,leres,tetenong nyaeta tempat paranti kadaharan,parabot
leres atanapi henteu alat paranti ngangeun namina pariuk,leres,pariuk nyaeta alat paranti ngangeun,parabot
leres atanapi henteu alat paranti nyiuk angeun namina sinduk,leres,sinduk nyaeta alat paranti nyiuk angeun,parabot
leres atanapi henteu alat paranti nyieun surabi namina keren,leres,keren nyaeta alat paranti nyieun sorabi,parabot
leres atanapi henteu tempat paranti kukumbah namina jajambaran,leres,jajambaran nyaeta tempat paranti kukumbah,parabot
leres atanapi henteu alat paranti nutupan sangu dina aseupan namina kekeb,leres,kekeb nyaeta alat paranti nutupan sangu dina aseupan,parabot
leres atanapi henteu alat paranti nyiuk cai namina siwur,leres,siwur nyaeta alat paranti nyiuk cai,parabot
leres atanapi henteu alat paranti ngaliwet namina kastrol,leres,kastrol nyaeta alat paranti ngaliwet,parabot
leres atanapi henteu alat paranti nutu namina halu,leres,halu nyaeta alat paranti nutu,parabot
leres atanapi henteu wawadahan tina jaring namina koja,leres,koja nyaeta wawadahan tina jaring,parabot
leres atanapi henteu tempat nyimpen bibinihan luhureun hawu namina paraseuneu,leres,paraseuneu nyaeta tempat nyimpen bibinihan luhureun hawu,parabot
leres atanapi henteu wawadahan paranti kadaharan keur ondangan namina dongdang,leres,dongdang nyaeta wawadahan paranti kadaharan keur ondangan,parabot
leres atanapi henteu alat paranti moe pare namina gibrig,leres,gibrig nyaeta bilik nu dianyam rekep paranti moe pare,parabot
leres atanapi henteu alat paranti ngakeul tina kai namina dulang,leres,dulang nyaeta alat paranti ngakeul tina kai,parabot
leres atanapi henteu alat paranti ngeureutan daging namina abir,leres,abir nyaeta peso badag paranti ngeureutan daging,parabot
leres atanapi henteu alat paranti nyaangan rohangan namina damar,leres,damar nyaeta alat paranti nyaangan rohangan make minyak tanah,parabot
leres atanapi henteu alat paranti ngageleng jenggel keur nyieun opak namina ulakan,leres,ulakan nyaeta alat paranti ngageleng jenggel keur nyieun opak,parabot
leres atanapi henteu alat paranti nyiuk beas tina batok kalapa namina kati,leres,kati nyaeta alat paranti nyiuk beas nu dijieun na tina batok kalapa,parabot
leres atanapi henteu wawadahan nu digunakeun keur ngala buah namina rombong,leres,rombong nyaeta wawadahan nu digunakeun keur ngala buah,parabot
leres atanapi henteu alat paranti nyimpen beas namina padaringan,leres,padaringan nyaeta alat paranti nyimpen beas,parabot
leres atanapi henteu Tarian khas jawa barat nu pang terkenalna namina jaipongan,leres,jaipongan nyaeta kasenian tari nu paling terkenal ti jawa barat,kasenian
leres atanapi henteu tarian khas jawa barat nu resep dilakonan barudak namina tari merak,leres,tari merak nyaeta kasenian tari nu khas ti jawa barat nu sok dilakonan ku barudak,kasenian
leres atanapi henteu wayang  nu khas di jawa barat namina wayang golek,leres,wayang golek nyaeta kasenian khas jawa barat,kasenian
leres atanapi henteu tarian anu asalna ti sumedang namina kuda renggong,leres,kuda renggong nyaeta kasenian tari anu asalna ti sumedang,kasenian
leres atanapi henteu alat musik sunda nu miboga senar siga gitar namina kecapi,leres,kecapi nyaeta alat musik sunda nu miboga senar siga gitar,kasenian
leres atanapi henteu kasenian nu mamawa boneka singa namina sisingaan,leres,sisingaan nyaeta kasenian nu mamawa boneka singa ku cara di panggul,kasenian
leres atanapi henteu alat musik nu maenkeun na ditiup jeung dijieun na tina awi namina suling,leres,suling nyaeta alat musik nu maenkeun na ditiup dijieun na tina awi,kasenian
leres atanapi henteu alat musik  nu maenkeun na digoyangkeun jeung dijieun na tina awi namina angklung,leres,angklung nyaeta alat musik nu maenkeun na digoyangkeun dijieun na tina awi,kasenian
leres atanapi henteu alat musik nu dijieun na tina pelepah daun kawung atawa belahan awi leutik namina karinding,leres,karinding nyaeta alat musik nu dijieun na tina beulahan awi leutik atawa pelepah kawung,kasenian
leres atanapi henteu dina gamelan sunda alat musik anu sarua jeung gong ti leutik disebutna bonang ,leres,bonang nyaeta alat musik gamelan nu bentuk na siga gong tapi leutik,kasenian
leres atanapi henteu alat musik anu ngaturan melodi dina gamelan sunda namina saron,leres,saron nyaeta alat musik instrumen gamelan anu ngaturan melodi,kasenian
leres atanapi henteu alat musik nu maenkeun na dicabokan namina kendang,leres,kendang nyaeta alat musik instrumen gamelan nu maenkeun na dicabok ,kasenian
leres atanapi henteu alat musik nu maenkeun na ku cara di gesek namina rebab,leres,rebab nyaeta alat musik nu cara maen na digesek jiga biola,kasenian
leres atanapi henteu alat musik nu utama jang ngiring tari jaipongan namina kecapi,leres,alat musik utama nu ngiring tari jaipong nyaeta kecapi,kasenian
leres atanapi henteu tari anu ngagambarkeun kaendahan bulan purnama namina panon hideung,leres,tari panon hideung nyaeta kasenian tari tradisional sunda anu ngagambarkeun  kaendahan bulan purnama,kasenian
leres atanapi henteu tari anu ngagambarkeun gerakan endah nu terinspirasi tina merak namina tari merak,leres,tari merak nyaeta kasenian tari nu ngagambarkeun gerakan endah terinspirasi tina manuk merak,kasenian
leres atanapi henteu alat musik anu siga angklung tapi cara maenkeun na di tabuh namina calung,leres,calung nyaeta alat musik siga angklung tapi cara maenkeun na di tabuh,kasenian
leres atanapi henteu alat musik nu bentuk na buleud badag cara maenkeun na di takol namina goong,leres,goong nyaeta alat musik perangkat gamelan anu cara maen na di takol,kasenian
leres atanapi henteu kasenian tari anu ngagambarkeun carita lucu jeung komedi namina serat ceprot,leres,tari serat ceprot nyaeta kasenian tari tradisional sunda nu ngagambarkeun caritaan lucu jeung komedi,kasenian
leres atanapi henteu kasenian tari anu make topeng singa atawa maung namina reog,leres,reog nyaeta kasenian tari anu make topeng singa atawa maung,kasenian
"leres atanapi henteu genre musik tradisional sunda nu ngalibatkeun instrumen siga suling , kendang jeung kacapi namina degung",leres,"degung nyaeta genre musik nu ngalibatkeun instrumen jiga suling, kendang jeung kacapi",kasenian
leres atanapi henteu pakakas paranti nakolan paku keur kai jeung sajabana disebut ragaji,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai,pakakas
leres atanapi henteu pakakas paranti motongan kai disebutna palu,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana,pakakas
leres atanapi henteu pakakas paranti muterkeun baud disebutna arit,henteu,arit nyaeta pakakas paranti ngala jukut atawa pare,pakakas
leres atanapi henteu pakakas paranti muterkeun mur disebutna linggis,henteu,linggis nyaeta pakakas paranti ngaliangan tembok atawa taneuh,pakakas
leres atanapi henteu pakakas paranti ngala jukut atawa pare teh namina parang,henteu,parang nyaeta pakakas paranti ngababad jukut dina galeng,pakakas
leres atanapi henteu pakakas paranti ngadek teh namina kampak,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai,pakakas
leres atanapi henteu pakakas anu bisa dijieun patik atawa rimbas teh namina gegendir,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat,pakakas
leres atanapi henteu pakakas paragi neunggeul anu beurat namina baliung,henteu,baliung nyaeta pakakas nu bisa dijieun patik atawa rimbas,pakakas
leres atanapi henteu pakakas paragi miceun jujukutan teh namina kujang,henteu,kujang nyaeta pakakas ciri khas sunda,pakakas
leres atanapi henteu pakarang khas urang sunda nyaeta kored,henteu,kored nyaeta pakakas paranti miceun jujukutan,pakakas
leres atanapi henteu pakakas paranti ngababad jukut dina galeng namina konci inggris,henteu,konci inggris nyaeta pakakas paranti muterkeun mur,pakakas
leres atanapi henteu pakakas paranti meulah sabangsaning tangkal namina carangka,henteu,carangka nyaeta pakakas paranti wadah jukut,pakakas
leres atanapi henteu wadah jukut meunang ngarit namina garu,henteu,garu nyaeta pakakas paranti ngawaluku,pakakas
leres atanapi henteu pakakas paragi ngawaluku namina congkrang,henteu,congkrang nyaeta pakakas paranti nyacar,pakakas
leres atanapi henteu pakakas paranti nyacar namina etem,henteu,etem nyaeta pakakas paranti ngala pare,pakakas
leres atanapi henteu pakakas paranti ngala pare namina gaet,henteu,gaet nyaeta pakakas paragi ngait nu dijieun na tina kai digagangan,pakakas
"leres atanapi henteu pakakas paranti ngait, dijieun tina awi digagangan namina jara",henteu,jara nyaeta pakakas paranti ngaliangan awi,pakakas
leres atanapi henteu pakakas paranti ngaliangan awi namina kikir,henteu,kikir nyaeta pakakas paranti ngasah ragaji,pakakas
leres atanapi henteu pakakas paranti ngasah ragaji namina taraje,henteu,taraje nyaeta pakakas paranti naek ka luhur,pakakas
leres atanapi henteu pakakas paranti naek ka tempat luhur namina pacul,henteu,pacul nyaeta pakakas paranti macul taneuh,pakakas
leres atanapi henteu pakakas paranti maculan taneuh namina sapu nyere,henteu,sapu nyere nyaeta pakakas paranti nyapukeun buruan imah,pakakas
leres atanapi henteu pakakas paranti nyapukeun buruan imah namina ancung,henteu,ancung nyaeta pakakas paranti ngakut es kacang,pakakas
leres atanapi henteu pakakas paranti ngakut es kacang namina balicong,henteu,balicong nyaeta pakakas paranti nugar,pakakas
leres atanapi henteu pakakas paranti nugar namina bandring,henteu,bandring nyaeta pakakas paranti maledogkeun batu,pakakas
leres atanapi henteu pakakas paranti maledogkeun batu namina dekol,henteu,dekol nyaeta pakakas nu bisa dipake ngadek jeung nakol,pakakas
leres atanapi henteu pakakas paranti ngadek jeung bisa nakol namina gacok,henteu,gacok nyaeta pakakas paranti ngumpulkeun jukut garing,pakakas
leres atanapi henteu pakakas paranti ngumpulkeun jukut garing namina gubang,henteu,gubang nyaeta pakakas siga bedog tapi leuwih panjang,pakakas
leres atanapi henteu pakakas nu bentukna diga bedog tapi leuwih panjang namina gondewa,henteu,gondewa nyaeta pakakas paranti mentang jamparing,pakakas
leres atanapi henteu pakakas paragi mentang jamparing namina jamparing,henteu,jamparing nyaeta pakakas paranti manah,pakakas
leres atanapi henteu pakakas nu sok dipake manah namina sumpit,henteu,sumpit nyaeta pakakas paranti ngala lauk,pakakas
leres atanapi henteu pakakas paranti ngala lauk namina sundung,henteu,sundung nyaeta alat paranti mawa barang,pakakas
leres atanapi henteu pakakas paranti ngala barang namina peso,henteu,peso nyaeta pakakas paranti ngeureut,pakakas
leres atanapi henteu pakakas paranti ngeureut namina susurung,henteu,susurung nyaeta pakakas paranti ngaratakeun taneuh nu geus diwaluku,pakakas
leres atanapi henteu pakakas paranti ngaratakeun taneuh nu geus diwaluku namina boboko,henteu,boboko nyaeta alat paranti wawadahan,pakakas
leres atanapi henteu alat paranti wawadahan namina peso,henteu,peso nyaeta alat paranti ngeureutan ,parabot
leres atanapi henteu alat paranti motongan sayur namina serok,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu alat paranti nyaring endog lamun enggeus digoreng namina nyiru,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu alat paranti napikeun beas beunang nyosoh namina besek,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu alat paranti wadah dahareun dina hajatan namina ayakan,henteu,ayakan nyaeta alat paranti ngayak huut lemes,parabot
leres atanapi henteu alat paranti ngala hu'ut lemes namina aseupan,henteu,aseupan nyaeta alat paranti nyangu,parabot
leres atanapi henteu alat paranti nyangu namina hihid,henteu,hihid nyaeta alat paranti ngageberan sangu waktu ngakeul,parabot
leres atanapi henteu alat paranti ngageberan waktu ngakeul namina mutu,henteu,mutu nyaeta alat paranti ngarendos bumbu,parabot
leres atanapi henteu alat paranti ngarendos bumbu namina talenan,henteu,talenan nyaeta tiatakan paranti nyiksik bawang jeung sajabana,parabot
leres atanapi henteu alat paranti nyiksik bawang jeung sajabana namina teko,henteu,teko nyaeta paranti ngawadahan cai nginum,parabot
leres atanapi henteu alat paranti wadah cai pikeun nginum namina kawali,henteu,kawali nyaeta alat paranti ngagoreng,parabot
leres atanapi henteu alat paranti gogoreng namina cecempeh,henteu,cecempeh nyaeta nyiru leutik paranti moe lauk asin,parabot
leres atanapi henteu alat paranti moekeun lauk asin namina totolonto,henteu,totolonto nyaeta alat paranti wadah timbel,parabot
leres atanapi henteu alat paranti wadah timbel namina rinjing,henteu,rinjing nyaeta wadah paranti babawaan mun balanja kla pasar,parabot
leres atanapi henteu wadah nu gede paranti balanja ka pasar namina gerengseng,henteu,gerengseng nyaeta alat paranti nyieun dodol atawa wajit,parabot
leres atanapi henteu alat paranti nyieun dodol atawa wajit namina anglo,henteu,anglo nyaeta hawu leutik paranti ngaliwet atawa naheur cai,parabot
"leres atanapi henteu ngaran hawu leutik paranti ngaliwet, naheur cai namina gentong",henteu,gentong nyaeta wadah cai badag paranti masak,parabot
leres atanapi henteu wadah cai badag paranti masak namina bokor,henteu,bokor nyaeta tempat bubuahan tina tembaga,parabot
leres atanapi henteu tempat bubuahan nu dijeunna tina tembaga namina songsong,henteu,songsong nyaeta alat paranti niup seuneu dina hawu,parabot
leres atanapi henteu alat paranti niup seuneu dina hawu namina cowet,henteu,cowet nyaeta tatakan jang ngalemeskeun bumbu nu direndos,parabot
leres atanapi henteu alat paranti tatakan ngarendos namina cecenting,henteu,cecenting nyaeta alat paranti wawadahan leutik kaulinan barudak,parabot
leres atanapi henteu alat paranti wawadahan leutik kaulinan barudak namina piruruha,henteu,piruruhan nyaeta alat paranti ngawadahan runtah,parabot
leres atanapi henteu alat paranti ngawadahan runtah namina pangangen,henteu,pangangen nyaeta tempat ngakeul,parabot
leres atanapi henteu tempat paranti ngakeul namina tetenong,henteu,tetenong nyaeta tempat paranti kadaharan,parabot
leres atanapi henteu tempat paranti kadaharan namina pariuk,henteu,pariuk nyaeta alat paranti ngangeun,parabot
leres atanapi henteu alat paranti ngangeun namina sinduk,henteu,sinduk nyaeta alat paranti nyiuk angeun,parabot
leres atanapi henteu alat paranti nyiuk angeun namina keren,henteu,keren nyaeta alat paranti nyieun sorabi,parabot
leres atanapi henteu alat paranti nyieun surabi namina jajambaran,henteu,jajambaran nyaeta tempat paranti kukumbah,parabot
leres atanapi henteu tempat paranti kukumbah namina kekeb,henteu,kekeb nyaeta alat paranti nutupan sangu dina aseupan,parabot
leres atanapi henteu alat paranti nutupan sangu dina aseupan namina siwur,henteu,siwur nyaeta alat paranti nyiuk cai,parabot
leres atanapi henteu alat paranti nyiuk cai namina kastrol,henteu,kastrol nyaeta alat paranti ngaliwet,parabot
leres atanapi henteu alat paranti ngaliwet namina halu,henteu,halu nyaeta alat paranti nutu,parabot
leres atanapi henteu alat paranti nutu namina koja,henteu,koja nyaeta wawadahan tina jaring,parabot
leres atanapi henteu wawadahan tina jaring namina paraseuneu,henteu,paraseuneu nyaeta tempat nyimpen bibinihan luhureun hawu,parabot
leres atanapi henteu tempat nyimpen bibinihan luhureun hawu namina dongdang,henteu,dongdang nyaeta wawadahan paranti kadaharan keur ondangan,parabot
leres atanapi henteu wawadahan paranti kadaharan keur ondangan namina gibrig,henteu,gibrig nyaeta bilik nu dianyam rekep paranti moe pare,parabot
leres atanapi henteu alat paranti moe pare namina dulang,henteu,dulang nyaeta alat paranti ngakeul tina kai,parabot
leres atanapi henteu alat paranti ngakeul tina kai namina abir,henteu,abir nyaeta peso badag paranti ngeureutan daging,parabot
leres atanapi henteu alat paranti ngeureutan daging namina damar,henteu,damar nyaeta alat paranti nyaangan rohangan make minyak tanah,parabot
leres atanapi henteu alat paranti nyaangan rohangan namina ulakan,henteu,ulakan nyaeta alat paranti ngageleng jenggel keur nyieun opak,parabot
leres atanapi henteu alat paranti ngageleng jenggel keur nyieun opak namina kati,henteu,kati nyaeta alat paranti nyiuk beas nu dijieun na tina batok kalapa,parabot
leres atanapi henteu alat paranti nyiuk beas tina batok kalapa namina rombong,henteu,rombong nyaeta wawadahan nu digunakeun keur ngala buah,parabot
leres atanapi henteu wawadahan nu digunakeun keur ngala buah namina padaringan,henteu,padaringan nyaeta alat paranti nyimpen beas,parabot
leres atanapi henteu alat paranti nyimpen beas namina jaipongan,henteu,jaipongan nyaeta kasenian tari nu paling terkenal ti jawa barat,parabot
leres atanapi henteu Tarian khas jawa barat nu pang terkenalna namina tari merak,henteu,tari merak nyaeta kasenian tari nu khas ti jawa barat nu sok dilakonan ku barudak,kasenian
leres atanapi henteu tarian khas jawa barat nu resep dilakonan barudak namina wayang golek,henteu,wayang golek nyaeta kasenian khas jawa barat,kasenian
leres atanapi henteu wayang  nu khas di jawa barat namina kuda renggong,henteu,kuda renggong nyaeta kasenian tari anu asalna ti sumedang,kasenian
leres atanapi henteu tarian anu asalna ti sumedang namina kecapi,henteu,kecapi nyaeta alat musik sunda nu miboga senar siga gitar,kasenian
leres atanapi henteu alat musik sunda nu miboga senar siga gitar namina sisingaan,henteu,sisingaan nyaeta kasenian nu mamawa boneka singa ku cara di panggul,kasenian
leres atanapi henteu kasenian nu mamawa boneka singa namina suling,henteu,suling nyaeta alat musik nu maenkeun na ditiup dijieun na tina awi,kasenian
leres atanapi henteu alat musik nu maenkeun na ditiup jeung dijieun na tina awi namina angklung,henteu,suling nyaeta alat musik nu maenkeun na digoyangkeun dijieun na tina awi,kasenian
leres atanapi henteu alat musik  nu maenkeun na digoyangkeun jeung dijieun na tina awi namina karinding,henteu,karinding nyaeta alat musik nu dijieun na tina beulahan awi leutik atawa pelepah kawung,kasenian
leres atanapi henteu alat musik nu dijieun na tina pelepah daun kawung atawa belahan awi leutik namina bonang,henteu,bonang nyaeta alat musik gamelan nu bentuk na siga gong tapi leutik,kasenian
leres atanapi henteu dina gamelan sunda alat musik anu sarua jeung gong ti leutik disebutna saron,henteu,saron nyaeta alat musik instrumen gamelan anu ngaturan melodi,kasenian
leres atanapi henteu alat musik anu ngaturan melodi dina gamelan sunda namina kendang,henteu,kendang nyaeta alat musik instrumen gamelan nu maenkeun na dicabok ,kasenian
leres atanapi henteu alat musik nu maenkeun na dicabokan namina rebab,henteu,rebab nyaeta alat musik nu cara maen na digesek jiga biola,kasenian
leres atanapi henteu alat musik nu maenkeun na ku cara di gesek namina kecapi,henteu,alat musik utama nu ngiring tari jaipong nyaeta kecapi,kasenian
leres atanapi henteu alat musik nu utama jang ngiring tari jaipongan namina panon hideung,henteu,tari panon hideung nyaeta kasenian tari tradisional sunda anu ngagambarkeun  kaendahan bulan purnama,kasenian
leres atanapi henteu tari anu ngagambarkeun kaendahan bulan purnama namina tari merak,henteu,tari merak nyaeta kasenian tari nu ngagambarkeun gerakan endah terinspirasi tina manuk merak,kasenian
leres atanapi henteu tari anu ngagambarkeun gerakan endah nu terinspirasi tina merak namina calung,henteu,calung nyaeta alat musik siga angklung tapi cara maenkeun na di tabuh,kasenian
leres atanapi henteu alat musik anu siga angklung tapi cara maenkeun na di tabuh namina goong,henteu,goong nyaeta alat musik perangkat gamelan anu cara maen na di takol,kasenian
leres atanapi henteu alat musik nu bentuk na buleud badag cara maenkeun na di takol namina serat ceprot,henteu,tari serat ceprot nyaeta kasenian tari tradisional sunda nu ngagambarkeun caritaan lucu jeung komedi,kasenian
leres atanapi henteu kasenian tari anu ngagambarkeun carita lucu jeung komedi namina reog,henteu,reog nyaeta kasenian tari anu make topeng singa atawa maung,kasenian
leres atanapi henteu kasenian tari anu make topeng singa atawa maung namina degung,henteu,"degung nyaeta genre musik nu ngalibatkeun instrumen jiga suling, kendang jeung kacapi",kasenian
"leres atanapi henteu genre musik tradisional sunda nu ngalibatkeun instrumen siga suling , kendang jeung kacapi namina gamelan",henteu,gamelan nyaeta seperangkat alat musik khas tradisional nu sok dipake ngiring tari,kasenian
leres atanapi henteu baki teh alat paranti mawa minuman jeung kadaharan jang nyuguhan,leres,baki nyaeta alat paranti mawa minuman jeung kadaharan jang nyuguhan tamu,parabot
leres atanapi henteu baki teh alat paranti ngawadahan minuman jeung kadaharan,henteu,baki nyaeta alat paranti mawa minuman jeung kadaharan jang nyuguhan tamu,parabot
leres atanapi henteu kendi teh alat paranti nyimpen cai atanapi beas,leres,kendi nyaeta alat paranti nyimpen cai atanapi beas,parabot
leres atanapi henteu kendi teh alat paranti nyimpen jukut meunang ngored,henteu,kendi nyaeta alat paranti nyimpen cai atanapi beas,parabot
leres atanapi henteu salah sahiji kadaharan khas cirebon teh nyaeta nasi jamblang,leres,nasi jamblang nyaeta salah sahiji kadaharan khas daerah cirebong,kadaharan
leres atanapi henteu salah sahiji kadaharan khas purwakarta nyaeta simping,leres,simping nyaeta salah sahiji kadaharan khas daerah purwakarta,kadaharan
